epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1068.42,0.42634,0.35338,0.86303,0.84242,0.75833,0.80657,0.64119,0.65601,0.75289,1.1932,0.000226497,0.000226497,0.000226497
87,1080.35,0.40538,0.35255,0.84405,0.84482,0.74444,0.78969,0.64019,0.70158,0.79551,1.23316,0.000212349,0.000212349,0.000212349
88,1092.25,0.38153,0.32206,0.83641,0.81538,0.74547,0.80114,0.64384,0.78021,0.80979,1.30748,0.000198202,0.000198202,0.000198202
89,1104.02,0.4001,0.33524,0.85207,0.82587,0.74913,0.80863,0.64347,0.7662,0.74344,1.29717,0.000184055,0.000184055,0.000184055
90,1115.87,0.37939,0.32347,0.83464,0.82926,0.7505,0.79966,0.63392,0.76079,0.70319,1.3007,0.000169908,0.000169908,0.000169908
91,1127.31,0.36241,0.31969,0.84183,0.82124,0.74444,0.79394,0.6235,0.7684,0.78026,1.28817,0.000155761,0.000155761,0.000155761
92,1138.4,0.33717,0.30183,0.8241,0.81763,0.74444,0.79376,0.65371,0.68985,0.76518,1.20626,0.000141614,0.000141614,0.000141614
93,1150.16,0.33692,0.30668,0.83117,0.80148,0.73726,0.79384,0.65075,0.70925,0.76764,1.23208,0.000127467,0.000127467,0.000127467
94,1161.4,0.33292,0.2933,0.82714,0.80277,0.72396,0.78313,0.63908,0.73161,0.78911,1.27529,0.00011332,0.00011332,0.00011332
95,1172.68,0.32728,0.29389,0.83192,0.82014,0.72829,0.79277,0.64596,0.73499,0.81171,1.26654,9.91726e-05,9.91726e-05,9.91726e-05
96,1183.76,0.32654,0.28858,0.83346,0.82317,0.73227,0.79365,0.64896,0.75306,0.77069,1.33018,8.50255e-05,8.50255e-05,8.50255e-05
97,1194.97,0.31543,0.28009,0.81055,0.81192,0.73013,0.79445,0.65342,0.73965,0.76703,1.32832,7.08784e-05,7.08784e-05,7.08784e-05
98,1206.36,0.31726,0.28683,0.82127,0.83339,0.73056,0.7987,0.64626,0.74445,0.7822,1.33205,5.67313e-05,5.67313e-05,5.67313e-05
99,1217.54,0.31312,0.2801,0.82611,0.84124,0.72912,0.7969,0.65404,0.76342,0.76193,1.36043,4.25842e-05,4.25842e-05,4.25842e-05
100,1228.61,0.30777,0.28136,0.81761,0.83804,0.72905,0.80555,0.65924,0.78161,0.73752,1.38428,2.84371e-05,2.84371e-05,2.84371e-05
